cohortDefinitionId,timeId,countValue,covariateId,averageValue,sd,minValue,maxValue,p10Value,p25Value,medianValue,p75Value,p90Value,mean,startDayTemporalCharacterization,endDayTemporalCharacterization
2887,1,810,3012888876702,78.26172839506172,11.244584664503632,50,140,60,70,75,80,81,0.5716302046577276,-730,-1
2887,NA,1417,1002,56.75370501058575,19.931079041475716,0,103,29,43,57,73,84,1,NA,NA
2887,NA,606,581476911,2.4721242060691604,9.066130798448897,0,72,0,0,0,1,6,0.42766407904022585,NA,NA
2887,NA,2142,9202911,14.236414961185604,11.986935102331893,0,145,3,5,9,18,30,1.5116443189837685,NA,NA
2898,NA,104,9202911,12.371428571428572,8.461726863270197,0,48,3,5,10,15,21,1.4857142857142858,NA,NA
2899,NA,12607,1008,1665.8066946934243,951.089958160114,0,4328,439,1001,1488,2429,3087,1,NA,NA
2899,NA,12607,1009,702.3598001110494,188.87371615917,0,1023,405,682,743,829,867,1,NA,NA
2899,1,231,42868464698702,194.31969696969696,234.864633468421,1.74,1041,4.58,6.01,8.97,299,405,0.018323153803442533,-730,-1
2899,1,386,3011505554702,71.09663439590932,11.790758695324802,27.63,99.09,54,64,72,78,81,0.030617910684540336,-730,-1
2899,1,5995,3012888876702,78.47623019182652,10.091815423348176,28,135,62,70,75,80,81,0.4755294677560086,-730,-1
2899,1,171,3001501753702,8.627485380116958,4.833194546244112,0,54,5,5.8,6.9,9,10.3,0.01356389307527564,-730,-1
2899,1,401,42868459554702,71.1735852441621,15.168026975277705,0,103,51.01,64.13,73.1,79.3,83,0.03180772586658206,-730,-1
2899,1,480,4208414751702,20.900625,34.249542605863454,0,220,2,5,5,6,6,0.038074085825335134,-730,-1
2899,1,4204,3023399578702,2.1603584681255947,1.7410827364372445,0.01,46.3,0.7,1.13,1.66,2.24,2.8,0.33346553502022686,-730,-1
2899,2,2890,42869607554702,97.34152249134948,2.154624840636984,64,100,94,96,97,98,98,0.22923772507337192,0,30
2899,2,201,3020682612702,8.752587064676616,43.17747553150406,0,474.3,0,0.2,0.2,0.3,0.3,0.015943523439359085,0,30
2899,2,1089,40762351753702,8.411111111111111,0.9975869578949453,4.7,11.6,6.5,7,7.4,7.6,7.7,0.08638058221622907,0,30
2899,1,1154,3013721645702,27.31369150779896,22.50775030195081,0,300,15,18,22,26,30,0.09153644800507654,-730,-1
2899,2,1028,40762887749702,81.29669260700389,28.972446178071504,25,380,45,51,56,58,59,0.08154200047592608,0,30
2899,2,731,4208414751702,25.565389876880985,35.21491111563444,0,230,5,5,5,8,11,0.05798365987149996,0,30
2899,1,411,3017703753702,7.239172749391727,2.2458630362072247,0,29.3,4.9,5.7,6.7,7.5,8.3,0.032600935987943204,-730,-1
2899,2,1133,3020460751702,24.27819947043248,44.63798822208441,0.2,458.6,0.6,1,1.1,1.2,2,0.08987070675021813,0,30
2899,1,226,3004424519702,3.5328853982300883,1.0784035996873942,1.13,6.74,2.29,2.66,3.27,4.05,4.59,0.017926548742761957,-730,-1
2899,2,287,40762352579702,54.56445993031359,14.219133850275837,31,121,33,34,36,36,38,0.022765130483064965,0,30
2899,1,2982,3000285753702,140.2270288397049,2.6033357614265786,127,150,136,138,140,141,142,0.23653525818989452,-730,-1
2899,1,6000,3004249876702,132.87416666666667,23.1725446835274,12,1236,107,115,124,131,139,0.47592607281668914,-730,-1
2899,2,359,42870529753702,2.942924791086351,0.9309111728012803,0.7,7.26,1.2,1.4,1.6,1.7,1.73,0.028476243356865234,0,30
2899,2,695,3023399578702,2.11048345323741,2.1943219934396496,0.01,28.9,0.06,0.41,0.65,0.8,0.89,0.055128103434599826,0,30
2899,1,180,3004424554702,96.77728927777778,18.546247744599604,2.89,164,75,83.37,93.27,103,108,0.014277782184500674,-730,-1
2899,1,3416,3006923645702,25.92652224824356,28.2475905350339,0,747,12,15,20,25,31,0.27096057745696833,-730,-1
2899,1,2556,42869607554702,97.41744913928012,2.192817109583344,66,100,94,96,97,97,98,0.20274450701990956,-730,-1
2899,1,385,3019480554702,85.96205831168831,25.675440961846572,25.4,410.23,58.18,71,83.79,94.54,103,0.03053858967240422,-730,-1
2899,1,364,3022891519702,2.882004857142857,0.8156183911261695,0.98,5.7,1.93,2.23,2.63,3.19943,3.61,0.028872848417545807,-730,-1
2899,1,362,3011708554702,87.11420370165746,19.27838228300382,0.05,148,59.51,74.29,85,97,104,0.02871420639327358,-730,-1
2899,2,380,3023602753702,1.2188684210526315,0.35062256511668544,0.5,2.91,0.7,0.78,0.82,0.89,0.91,0.030141984611723644,0,30
2899,1,3686,3025315529702,74.58676505697233,25.118590678790344,0.856,180,30,60,73,84,91.2,0.29237725073371934,-730,-1
2899,2,576,3025315529702,72.41996527777778,28.255218229845326,4,189,11,15,21,43,50,0.04568890299040216,0,30
2899,1,1993,44816672753702,6.048871048670346,2.7662299420509044,2.1,82,4.4,4.8,5.3,5.8,6.5,0.1580867771872769,-730,-1
2899,2,170,3008486729702,16.926470588235293,3.788405608609359,6.3,28.2,10.9,11,11.8,12,12,0.013484572063139525,0,30
2899,1,117,3035529795702,88.85350427350427,36.1799159211638,25,210,44,59,82,105,128,0.009280558419925438,-730,-1
2899,1,4884,40762351753702,8.58939393939394,1.4223696747745749,2.8,85,7.3,7.9,8.4,8.8,9.1,0.38740382327278494,-730,-1
2899,2,956,40764999117702,77.2060669456067,20.21746704275372,11,129,32,42,52,57,60,0.07583088760212581,0,30
2899,1,579,4164148636702,39.42556131260795,3.9790327832609527,24,50,34,36,39,41,43,0.0459268660268105,-730,-1
2899,2,551,3000285753702,139.2141560798548,3.3365005027252272,126,154,133,135,137,138,138,0.04370587768699929,0,30
2899,1,334,3020076554702,96.78802011976047,25.354853759323998,47.46,439.68,74.15,83,92,102.96,110,0.026493218053462362,-730,-1
2899,1,3894,3023602753702,1.402914740626605,0.40715177844314254,0.4,3.8,0.9,1.09,1.3,1.51,1.71,0.30887602125803126,-730,-1
2899,1,694,3005162753702,2.3590345821325647,0.11265299470075707,1.8,2.83,2.22,2.28,2.34,2.4,2.44,0.05504878242246371,-730,-1
2899,2,832,3015183752702,21.78125,21.455076832799357,0,136,2,2,2,2,2,0.06599508209724757,0,30
2899,1,1468,40762352579702,53.6906806880109,182.547023276208,6.4,7023,35,39,45,52,56,0.11644324581581661,-730,-1
2899,2,384,3019900753702,4.821822916666667,1.1154183188386635,2.18,9,2.7,3,3.3,3.48,3.5,0.030459268660268105,0,30
2899,1,272,4200892554702,6.86982856617647,7.323497050702972,0,61,0.3,1.93,4.4,8,12,0.021575315301023242,-730,-1
2899,1,350,3005600519702,3.6234010714285714,1.0200441717386854,1.12,7,2.46,2.8,3.3,4.03,4.6,0.0277623542476402,-730,-1
2899,1,362,3023550519702,2.5737233425414363,0.9208384170200479,0.66,5.85,1.42,1.83,2.37,3,3.5,0.02871420639327358,-730,-1
2899,1,403,3005025519702,2.490371935483871,0.8928181266567071,0.71,5.84,1.35,1.8,2.3,2.91,3.37,0.03196636789085429,-730,-1
2899,1,4284,3018251753702,5.942063492063492,1.736933148873041,2.4,23.6,4.6,5,5.4,5.9,6.6,0.339811215991116,-730,-1
2899,2,2528,3012888876702,76.95846518987342,10.564641485681756,20,128,60,63,70,70,70,0.20052351868009835,0,30
2899,1,4568,3027018541702,76.76138353765324,14.494307060709827,6,185,60,65,72,77,80,0.3623383834377727,-730,-1
2899,1,3978,3015183752702,12.608848667672197,14.961062264767278,0,139,2,3,7,12,18,0.3155389862774649,-730,-1
2899,2,698,3005456753702,4.261318051575931,0.47487155613314924,2.8,6.2,3.4,3.6,3.7,3.8,3.9,0.05536606647100817,0,30
2899,1,5541,40762887749702,79.20366359862841,32.12731727761421,4.5,1309,56,63,72,82,89,0.43951772824621244,-730,-1
2899,1,2400,3012516751702,29.340070833333332,174.316777400813,0,4500,3,3.1,5,9,18,0.19037042912667565,-730,-1
2899,1,2746,3036277546702,1.7532458120903132,3.500254538809694,0.47,185,1.56,1.61,1.67,1.74,1.78,0.2178154993257714,-730,-1
2899,1,2801,3038553532702,114.46970690200465,4564.242727579913,2.7,241588.18,21.7,24.11,26.9,29.7,32.2,0.22217815499325771,-730,-1
2899,2,1044,3024731583702,89.38199233716475,5.7226117457551275,63,116,76,81,83,85,86,0.08281113667010391,0,30
2899,1,195,3024594554702,78.94080707692308,3.2300152291673103,65.42,89.18,75,77,78,80,81,0.015467597366542397,-730,-1
2899,2,352,3036277546702,1.7015767045454544,0.11422537237887187,1.44,2.07,1.44,1.5,1.53,1.55,1.56,0.02792099627191243,0,30
2899,1,216,4153323876702,141.25462962962962,8.39518005967,105,163,135,140,140,140,149,0.01713333862140081,-730,-1
2899,1,413,3016258582702,100.4227602905569,15.151047422319381,0,149,84,91,99,108,114,0.032759578012215435,-730,-1
2899,2,389,3026910645702,59.825192802056556,120.583590730156,4,1855,9,11,11,13,14,0.030855873720948678,0,30
2899,2,196,3013721645702,35.72959183673469,70.18878091252472,9,960,12,14,16,17,17,0.015546918378678512,0,30
2899,2,365,3038553532702,28.3447466904,5.408381808283608,0,52.2,17.5,19,20.8,21.6,22.3,0.028952169429681922,0,30
2899,1,3879,3009542604702,0.4719205980922918,1.436567864164708,0.14,48,0.37,0.39,0.41,0.43,0.45,0.3076862060759895,-730,-1
2899,1,403,3037879519702,3.4976410421836226,1.0944448960336628,1.01,6.99,2.26,2.65,3.24,3.99,4.46,0.03196636789085429,-730,-1
2899,2,2529,3004249876702,130.63681296955318,20.02427979070127,60,294,100,108,112,120,121,0.20060283969223447,0,30
2899,1,1201,3008486729702,16.155303913405497,5.022278824902066,3,76,12,13.2,15,17,18.5,0.09526453557547394,-730,-1
2899,1,3089,3020460751702,10.190644221430883,24.516521470343807,0,335.1,1,1,3,5,6,0.2450226064884588,-730,-1
2899,1,4703,3024731583702,89.43138422283648,5.664101280837887,56,126,82,86,89,91,93,0.3730467200761482,-730,-1
2899,1,4186,3005456753702,4.248279980888676,0.40205345551329225,0,6.5,3.7,3.9,4.2,4.4,4.5,0.3320377568017768,-730,-1
2899,2,372,42868692753702,1.7081989247311828,0.9749403095690322,0.4,8.66,0.5,0.6,0.68,0.7,0.72,0.029507416514634725,0,30
2899,2,2563,3027018541702,85.69059695669138,16.9774801865369,40,150,58,61,66,71,72,0.20329975410486237,0,30
2899,1,3826,42868692753702,1.5808677469942498,0.9458927130473482,0.2,13.48,0.76,0.99,1.3,1.71,2.14,0.30348219243277547,-730,-1
2899,2,205,3012516751702,61.950731707317075,268.558529170362,0.1,2845.9,1,1,1,2,2,0.016260807487903546,0,30
2899,1,4780,40764999117702,79.53891213389122,19.406078708588208,0,190,51,64,77,88,90,0.37915443801062904,-730,-1
2899,1,3916,3019900753702,5.035395812053116,1.09796710869361,1.5,10.2,3.6,4.11,4.8,5.5,6,0.31062108352502577,-730,-1
2899,1,2313,3020682612702,5.060566364029399,29.903789925107745,0,890.6,0.3,0.5,1,2.03,3.5,0.18346950107083365,-730,-1
2899,2,833,3009542604702,0.45273709483793517,1.1299358385799678,0.24,33,0.32,0.35,0.37,0.38,0.39,0.06607440310938367,0,30
2899,2,381,44816672753702,6.403149606299213,2.5092126152663283,1.6,20.7,3.7,4.1,4.4,4.6,4.7,0.03022130562385976,0,30
2899,2,590,3018251753702,6.6040677966101695,2.333192336899077,1.9,26.7,4.2,4.5,4.5,4.7,4.8,0.04679939716030777,0,30
2899,2,598,3006923645702,31.665551839464882,47.33637267652302,6,1015,9,11,11,13,13,0.04743396525739668,0,30
2899,1,2227,3026910645702,38.314324202963626,69.42183246988051,3,1526,12,16,22,31,41,0.1766478940271278,-730,-1
2899,1,3820,42870529753702,3.010649214659686,0.9548920622094995,0.4,7.7,1.8,2.2,2.8,3.47,3.9,0.30300626635995875,-730,-1
2899,NA,12607,1002,46.90069009280558,23.674192062741895,0,102,10,30,50,64,77,1,NA,NA
2899,NA,3083,581476911,0.8515903862933291,5.925609204327807,0,61,0,0,0,0,2,0.2445466804156421,NA,NA
2899,NA,460,9203911,0.05457285634964702,1.0447412709364352,0,10,0,0,0,0,0,0.036487665582612835,NA,NA
2899,NA,22345,9202911,12.027445070199096,9.275366152131104,0,175,3,4,8,14,23,1.7724280161814865,NA,NA
